common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,strat_interval,fl_reg,wp_int_precal,wp_catch_precal,wp_int,wp_catch,date_published
,201704913wdS:8AM-8PM,201729131748920170418,2017,9,3,5,1748920170418001,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,1271.4825584,1271.4825584,36684.439649,36684.439649,05/04/2021
,201704913wdS:8AM-8PM,201729131748920170418,2017,9,3,5,1748920170418002,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,1271.4825584,1271.4825584,36684.439649,36684.439649,05/04/2021
,201704913wdS:8AM-8PM,201729131748920170418,2017,9,3,5,1748920170418003,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,1271.4825584,1271.4825584,36684.439649,36684.439649,05/04/2021
,201704913weS:8AM-8PM,201729131757820170401,2017,9,3,5,1757820170401001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913weS:8AM-8PM,,0,,8,24.2459208,24.2459208,698.1696301,698.1696301,05/04/2021
,201704913weS:8AM-8PM,201729131757820170401,2017,9,3,5,1757820170401002,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913weS:8AM-8PM,,0,,8,24.2459208,24.2459208,699.53615364,699.53615364,05/04/2021
,201704913weS:8AM-8PM,201729131757820170402,2017,9,3,5,1757820170402001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913weS:8AM-8PM,,0,,8,24.129232161,24.129232161,696.16948746,696.16948746,05/04/2021
,201704913weS:8AM-8PM,201729131757820170408,2017,9,3,5,1757820170408001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913weS:8AM-8PM,,0,,8,934.83806189,934.83806189,26971.671956,26971.671956,05/04/2021
,201704913weS:8AM-8PM,201729131757820170408,2017,9,3,5,1757820170408002,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913weS:8AM-8PM,,0,,8,934.83806189,934.83806189,26971.671956,26971.671956,05/04/2021
,201704913weS:8AM-8PM,201729131757820170409,2017,9,3,5,1757820170409001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913weS:8AM-8PM,,0,,8,35.519358295,35.519358295,1024.7940463,1024.7940463,05/04/2021
,201704913wdS:8AM-8PM,201729131757820170410,2017,9,3,5,1757820170410001,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,576.03223528,576.03223528,16619.512105,16619.512105,05/04/2021
,201704913wdS:8AM-8PM,201729131757820170410,2017,9,3,5,1757820170410002,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,576.03223528,576.03223528,16619.512105,16619.512105,05/04/2021
,201704913wdS:8AM-8PM,201729131757820170412,2017,9,3,5,1757820170412001,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,1236.346076,1236.346076,35670.692225,35670.692225,05/04/2021
,201704913wdS:8AM-8PM,201729131757820170412,2017,9,3,5,1757820170412002,4,2,wd,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201704913wdS:8AM-8PM,,0,,8,1236.346076,1236.346076,35670.692225,35670.692225,05/04/2021
STRIPED BASS,201704913weS:8AM-8PM,201729131757820170422,2017,9,3,5,1757820170422003,4,2,we,8835020102,0,3,0,0,0,3,0,0,0,0,1,04,3,0,0,0,201704913weS:8AM-8PM,,0,,8,1931.8936219,1931.8936219,55738.424811,55738.424811,05/04/2021
STRIPED BASS,201704913weS:8AM-8PM,201729131757820170422,2017,9,3,5,1757820170422004,4,2,we,8835020102,0,4,0,0,0,4,0,0,0,0,1,04,4,0,0,0,201704913weS:8AM-8PM,,0,,8,1931.8936219,1931.8936219,55738.424811,55738.424811,05/04/2021
STRIPED BASS,201704913weS:8AM-8PM,201729131757820170422,2017,9,3,5,1757820170422005,4,2,we,8835020102,0,6,0,0,0,6,0,0,0,0,1,04,6,0,0,0,201704913weS:8AM-8PM,,0,,8,1931.8936219,1931.8936219,55738.424811,55738.424811,05/04/2021
WHITE CATFISH,201704913weS:8AM-8PM,201729131757820170422,2017,9,3,5,1757820170422006,4,2,we,8777020101,0,1,0,0,0,1,0,0,0,0,1,04,1,0,0,0,201704913weS:8AM-8PM,,0,,8,1931.8936219,1931.8936219,55738.424811,55738.424811,05/04/2021
